package_name,app_title,short_description,full_description,category,content_rating,target_audience
com.rhythmix.trim,TRIM,Subscription cancellation and renewal tracker,"Stop paying for things you forgot about. Renewal countdowns, yearly waste calculator, category breakdown. One-time purchase $3.99.",FINANCE,UNRATED,Digital minimalists and budget-conscious consumers
com.rhythmix.scan,SCAN,Receipt scanner and tax filing helper,"Photo a receipt, auto-categorise expenses, export CSV. AU tax-year grouping for sole traders and freelancers. One-time $4.99.",FINANCE,UNRATED,Australian sole traders and freelance workers
com.rhythmix.glow,GLOW,Skincare routine and ingredient scanner,"AM/PM routine builder. Ingredient scanner flags irritants and conflicts. Skin journal tracks routines. One-time purchase $3.99.",HEALTH_AND_FITNESS,UNRATED,Skincare enthusiasts and people managing sensitive skin
com.rhythmix.macro,MACRO,Photo-first nutrition and macro tracker,"Photo-first calorie and macro tracker. Animated rings, 50-food database, water counter, weekly trends. One-time $4.99.",HEALTH_AND_FITNESS,UNRATED,Fitness enthusiasts and people tracking nutrition
com.rhythmix.lapse,LAPSE,Private daily photo journal,"One photo per day. Private, no filters, no social features. Calendar view, streak counter, and on-this-day memories. One-time $2.99.",PHOTOGRAPHY,UNRATED,Photography enthusiasts and journalers
com.rhythmix.hype,HYPE,AI morning affirmations and voice coaching,"AI-personalised morning affirmations based on your goals. Text-to-speech reads aloud via Web Speech API. One-time $2.99.",HEALTH_AND_FITNESS,UNRATED,People seeking daily motivation and mindset training
com.rhythmix.vault,VAULT,Biometric-locked private notes,"Biometric and PIN-locked private notes with zero cloud storage. WebAuthn, auto-lock, scrambled keypad. One-time $4.99.",PRODUCTIVITY,UNRATED,Privacy-conscious note takers and security-first users
com.rhythmix.axle,AXLE,Freelance invoice and project manager,"Invoice generator, project timer, expense tracker, and client database. All offline. One-time purchase.",PRODUCTIVITY,UNRATED,Freelancers and solo business owners
com.rhythmix.docket,DOCKET,Legal document and contract manager,"Contract parser, deadline tracker, signature capture, and document archive. Offline-first security. One-time purchase.",PRODUCTIVITY,UNRATED,Legal professionals and contract-heavy businesses
com.rhythmix.herd,HERD,Livestock herd management system,"Herd roster, health records, breeding calendar, and genealogy. Built for smallholder and pastoral operations. One-time purchase.",PRODUCTIVITY,UNRATED,Farmers and livestock managers
com.rhythmix.lull,LULL,Ambient sleep soundtrack generator,"Generative sleep soundscapes: rain, wind, forest. Customisable layering and fade-out timer. Completely offline. One-time purchase.",HEALTH_AND_FITNESS,UNRATED,People seeking sleep assistance and ambient sound
com.rhythmix.plumb,PLUMB,Plumbing job estimator and invoice tool,"Job estimator for plumbing work, material cost tracker, and invoice generation. Offline calculations. One-time purchase.",PRODUCTIVITY,UNRATED,Plumbers and HVAC contractors
com.rhythmix.rack,RACK,Server and network asset management,"Data center rack diagram tool, port inventory, and cable management. Offline reference. One-time purchase.",PRODUCTIVITY,UNRATED,IT professionals and data center managers
com.rhythmix.sole,SOLE,Footwear fit and comfort tracker,"Shoe fit journal, comfort scoring, and wear-out predictor. Helps optimise footwear investment. One-time purchase.",HEALTH_AND_FITNESS,UNRATED,Runners and footwear-conscious individuals
com.rhythmix.spot,SPOT,Site inspection and defect logger,"Photo-based site inspection tool. Defect marking, timestamp logging, and PDF report export. One-time purchase.",PRODUCTIVITY,UNRATED,Builders and site inspectors
com.rhythmix.stack,STACK,Personal finance net-worth calculator,"Track assets, liabilities, and net-worth growth over time. Offline calculations. Privacy-first. One-time purchase.",FINANCE,UNRATED,Personal finance enthusiasts and investors
