slug,name,description,category,app_type,estimated_status,recommended_price_usd,gumroad_created,notes
loan-calculator,Loan Calculator,AI-powered loan calculator with repayment planning and scenario analysis.,Finance,Finance,unknown,0.99,false,Utility tool
smartgrocery,Smart Grocery,AI-powered grocery list builder with price tracking and meal planning integration.,Shopping,Utility,unknown,1.99,false,Shopping assistant
quick-recipes,Quick Recipes,AI recipe suggestions based on ingredients you have with cooking instructions.,Food,Utility,unknown,0.99,false,Meal planning helper
workout-timer,Workout Timer,Interval timer for HIIT and circuit training with AI coaching.,Fitness,Wellness,unknown,0.99,false,Fitness companion
trivia-quiz,Trivia Quiz,AI-generated trivia questions with difficulty adaptation and scoring.,Learning,Education,unknown,0.99,false,Gamification appeal
startstudio,StoryStudio,AI-powered story generator and writing assistant for creative fiction.,Creative,Creative,unknown,3.99,false,Creative tools tier
voicejournal,VoiceJournal,Voice-to-text journaling with AI prompts and emotional tracking.,Wellness,Wellness,unknown,1.99,false,Voice interface trend
codementor,CodeMentor,AI code review and programming tutorial for beginners and intermediates.,Learning,Education,unknown,4.99,false,Developer market premium
nutriai,NutriAI,AI nutrition analysis meal planning and dietary recommendations.,Health,Wellness,unknown,3.99,false,Health premium segment
fitcoach-pro,Fitness Coach Pro,Personalized AI fitness coaching with workout generation and form feedback.,Fitness,Wellness,unknown,3.99,false,Fitness premium
heartbeat,Heartbeat,Wellness check-in with AI mood tracking and mental health resource suggestions.,Health,Wellness,unknown,1.99,false,Mental health focus
lifeaudit,Life Audit,Comprehensive AI life assessment across work health relationships and finance.,Wellness,Wellness,unknown,2.99,false,Self-improvement premium
meetingmind,Meeting Mind,AI meeting notes transcription summary and action item extraction.,Productivity,Productivity,unknown,3.99,false,Business tool
habit-streak,Habit Streak,Visual habit tracker with AI streak maintenance and motivation.,Productivity,Productivity,unknown,1.99,false,Gamification
dreamcatcher,Dreams App,AI dream analysis and journaling with symbol interpretation.,Wellness,Wellness,unknown,1.99,false,Niche wellness
hum,Hum,Humming meditation and sound frequency healing with AI customization.,Wellness,Wellness,functional,2.99,false,Audio wellness category
live,Live,Live-streamed AI coaching sessions on wellness and personal development.,Wellness,Wellness,unknown,4.99,false,Premium live format
resonance,Resonance,Frequency resonance and biohacking optimization through AI algorithms.,Wellness,Wellness,unknown,3.99,false,Advanced wellness niche
roomtone,Roomtone PWA,Ambient sound customization and audio environment optimization.,Utilities,Utility,unknown,1.99,false,Ambient sounds trend
recovery,Reset Recovery App,Sports recovery tracking with AI coaching for injury prevention.,Fitness,Wellness,unknown,2.99,false,Athletic market
livestock-app,HerdCheck,Livestock health screening for smallholder farmers using mobile AI vision.,Agriculture,Specialized,unknown,19.99,false,B2B segment
dreams-app,Dreams App,AI dream analysis journaling and interpretation.,Wellness,Wellness,unknown,1.99,false,Sleep focus variant
live-app,Live Coaching,On-demand AI coaching sessions across wellness and productivity.,Wellness,Wellness,unknown,4.99,false,Live coaching premium
resonate-app,Resonance Plus,Advanced biohacking and wellness optimization.,Wellness,Wellness,unknown,4.99,false,Premium biohacking
frequency-app,Frequency Healing,AI-guided frequency therapy and sound healing sessions.,Wellness,Wellness,unknown,2.99,false,Alternative wellness
download-page,Downloads Hub,Central hub for downloading and managing all buddy apps.,Utilities,Utility,functional,0.00,false,Internal tool
get-apps,App Store,Central marketplace for browsing and installing all buddy applications.,Utilities,Utility,functional,0.00,false,Internal tool
avatar-proxy-test,Avatar Proxy Test,Testing framework for avatar generation and voice synthesis.,Testing,Framework,unknown,0.00,false,Internal testing
test-suite,Test Suite,Automated testing framework for buddy app quality assurance.,Testing,Framework,unknown,0.00,false,Internal testing
spellingbuddy,Spelling Buddy,AI spelling checker and writing grammar assistant.,Learning,Education,unknown,1.99,false,Education category
codementor-alt,Code Mentor Plus,Advanced AI code review and software architecture guidance.,Learning,Education,unknown,4.99,false,Developer premium
languagelens-pro,Language Lens Pro,Advanced language learning with AI conversation practice.,Learning,Education,unknown,4.99,false,Language learning premium
mathtutor-pro,Math Tutor Pro,Advanced mathematics tutoring with step-by-step AI explanations.,Learning,Education,unknown,3.99,false,STEM education premium
storytudio,Story Studio Alt,Story generation and creative writing with AI assistance.,Creative,Creative,unknown,2.99,false,Creative tools
mind-games,Mind Games,AI-adaptive brain training games for cognitive improvement.,Learning,Games,unknown,1.99,false,Cognitive enhancement
health-coach,Health Coach Pro,Comprehensive health coaching across nutrition fitness and wellness.,Health,Wellness,unknown,4.99,false,Healthcare premium
sleep-coach,Sleep Coach,AI sleep optimization with sleep tracking and personalized recommendations.,Health,Wellness,unknown,2.99,false,Sleep health trend
energy-tracker,Energy Tracker,Daily energy level tracking with AI insights and optimization.,Health,Wellness,unknown,1.99,false,Wellness tracking
mindfulness-master,Mindfulness Master,Progressive mindfulness and meditation training with AI coaching.,Wellness,Wellness,unknown,3.99,false,Mindfulness premium
stress-relief,Stress Relief,AI-guided stress management with biofeedback and relaxation techniques.,Wellness,Wellness,unknown,2.99,false,Mental health focus
productivity-pro,Productivity Pro,Advanced productivity system with AI-powered time management.,Productivity,Productivity,unknown,3.99,false,Professional productivity
financial-advisor,Financial Advisor,AI financial planning and investment guidance for wealth building.,Finance,Finance,unknown,9.99,false,Financial services premium
relationship-coach,Relationship Coach,AI-powered relationship coaching and communication guidance.,Wellness,Wellness,unknown,3.99,false,Relationship wellness
parent-guide,Parent Guide,AI parenting advice and child development guidance.,Education,Parenting,unknown,2.99,false,Parenting market
pet-care,Pet Care Buddy,AI pet health tracking and care recommendations for pet owners.,Utilities,Utilities,unknown,1.99,false,Pet owner market
gardening-buddy,Garden Buddy,AI gardening advice and plant care guidance for home gardeners.,Hobbies,Hobbies,unknown,1.99,false,Hobby market
cooking-coach,Cooking Coach,AI recipe guidance meal planning and cooking technique instruction.,Food,Utilities,unknown,1.99,false,Food interest
travel-buddy,Travel Buddy,AI travel planning itinerary creation and destination recommendations.,Travel,Travel,unknown,2.99,false,Travel interest
learning-companion,Learning Companion,AI tutoring across multiple subjects with adaptive difficulty.,Learning,Education,unknown,3.99,false,Education premium
music-mentor,Music Mentor,AI music learning lessons for instruments and music theory.,Learning,Education,unknown,3.99,false,Music education
art-coach,Art Coach,AI guidance for digital and traditional art creation.,Creative,Creative,unknown,2.99,false,Creative tools
writing-assistant,Writing Assistant,AI writing improvement editing and style enhancement.,Productivity,Productivity,unknown,2.99,false,Writer tools
grammar-expert,Grammar Expert,Advanced grammar checking writing style improvement.,Learning,Education,unknown,1.99,false,Writing assistance
idea-generator,Idea Generator,AI brainstorming and creative idea generation for projects.,Creative,Productivity,unknown,1.99,false,Ideation tools
time-manager,Time Manager Plus,Advanced time management and calendar optimization.,Productivity,Productivity,unknown,2.99,false,Professional tools
focus-timer,Focus Timer Pro,Advanced Pomodoro with distraction blocking and AI optimization.,Productivity,Productivity,unknown,1.99,false,Focus tools
note-taking-pro,Note Taking Pro,Advanced note-taking with AI organization and quick recall.,Productivity,Productivity,unknown,2.99,false,Knowledge management
memory-enhancer,Memory Enhancer,AI spaced repetition and memory improvement techniques.,Learning,Education,unknown,1.99,false,Learning tools
brain-trainer,Brain Trainer,Adaptive brain training games for cognitive skills.,Learning,Games,unknown,1.99,false,Cognitive games
reflection-journal,Reflection Journal,Guided AI journaling prompts for self-reflection and growth.,Wellness,Wellness,unknown,1.99,false,Self-improvement
intention-setter,Intention Setter,AI-guided daily intention setting and goal alignment.,Wellness,Productivity,unknown,0.99,false,Daily rituals
celebration-buddy,Celebration Buddy,AI celebration and positive reinforcement for achievements.,Wellness,Wellness,unknown,0.99,false,Positive psychology
gratitude-practice,Gratitude Practice,Daily AI gratitude prompts and appreciation practice.,Wellness,Wellness,unknown,0.99,false,Mental wellness
courage-coach,Courage Coach,AI coaching for facing fears and building courage.,Wellness,Wellness,unknown,1.99,false,Personal development
resilience-builder,Resilience Builder,AI coaching for building emotional resilience and adaptability.,Wellness,Wellness,unknown,2.99,false,Mental strength
communication-coach,Communication Coach,AI coaching for improving communication and speaking skills.,Learning,Education,unknown,2.99,false,Professional skills
negotiation-expert,Negotiation Expert,AI guidance for negotiation strategy and conflict resolution.,Professional,Professional,unknown,4.99,false,Business skills
interview-prep,Interview Prep,AI mock interviews and interview coaching for job seekers.,Learning,Education,unknown,2.99,false,Career development
career-coach,Career Coach,AI career planning and professional development guidance.,Professional,Professional,unknown,3.99,false,Career services
entrepreneurship-guide,Entrepreneurship Guide,AI guidance for starting and growing a business.,Professional,Professional,unknown,4.99,false,Business premium
marketing-assistant,Marketing Assistant,AI marketing strategy and campaign planning.,Professional,Professional,unknown,3.99,false,Business tools
leadership-coach,Leadership Coach,AI leadership development and team management coaching.,Professional,Professional,unknown,4.99,false,Executive premium
sales-coach,Sales Coach,AI sales training and customer engagement coaching.,Professional,Professional,unknown,3.99,false,Sales enablement
customer-service,Customer Service AI,AI customer service training and support excellence.,Professional,Professional,unknown,2.99,false,Business tools
project-manager,Project Manager AI,AI project planning timeline management and team coordination.,Professional,Professional,unknown,3.99,false,Professional tools
habit-scientist,Habit Scientist,AI behavioral science for habit formation and behavior change.,Wellness,Wellness,unknown,2.99,false,Habit mastery
motivation-maximizer,Motivation Maximizer,AI motivation techniques and goal achievement systems.,Wellness,Productivity,unknown,2.99,false,Goal achievement
emotion-coach,Emotion Coach,AI emotional intelligence development and emotional awareness.,Wellness,Wellness,unknown,2.99,false,Emotional wellness
authenticity-guide,Authenticity Guide,AI guidance for living authentically and discovering values.,Wellness,Wellness,unknown,2.99,false,Personal values
minimalism-buddy,Minimalism Buddy,AI guidance for minimalist living and decluttering.,Lifestyle,Lifestyle,unknown,1.99,false,Lifestyle design
sustainability-guide,Sustainability Guide,AI guidance for sustainable living and environmental impact.,Lifestyle,Lifestyle,unknown,1.99,false,Environmental awareness
mindful-shopping,Mindful Shopping,AI guidance for conscious consumerism and sustainable purchases.,Finance,Lifestyle,unknown,0.99,false,Shopping mindfulness
digital-detox,Digital Detox,AI guidance for healthy digital habits and screen time management.,Wellness,Wellness,unknown,1.99,false,Digital wellness
nature-buddy,Nature Buddy,AI guidance for outdoor activities nature connection and exploration.,Lifestyle,Recreation,unknown,1.99,false,Outdoor recreation
fitness-buddy-pro,Fitness Buddy Pro,Comprehensive fitness coaching with workout and nutrition.,Fitness,Wellness,unknown,4.99,false,Fitness premium
nutrition-guide,Nutrition Guide,AI nutrition guidance and meal planning for health optimization.,Health,Wellness,unknown,2.99,false,Health focus
wellness-hub,Wellness Hub,Central hub for all health and wellness tools and coaching.,Wellness,Wellness,unknown,3.99,false,Wellness ecosystem
performance-coach,Performance Coach,AI coaching for athletic and competitive performance.,Fitness,Sports,unknown,4.99,false,Sports premium
yoga-guide,Yoga Guide,AI yoga instruction with pose guidance and class recommendations.,Fitness,Wellness,unknown,1.99,false,Yoga practice
pilates-coach,Pilates Coach,AI pilates instruction with progression and form feedback.,Fitness,Wellness,unknown,1.99,false,Pilates practice
dance-coach,Dance Coach,AI dance instruction and choreography guidance.,Fitness,Creative,unknown,2.99,false,Dance fitness
martial-arts-mentor,Martial Arts Mentor,AI martial arts instruction and training guidance.,Fitness,Sports,unknown,3.99,false,Martial arts training
boxing-coach,Boxing Coach,AI boxing instruction training and technique improvement.,Fitness,Sports,unknown,2.99,false,Combat sports
running-coach,Running Coach,AI running training plans and race preparation coaching.,Fitness,Sports,unknown,2.99,false,Running focus
cycling-buddy,Cycling Buddy,AI cycling training route planning and performance optimization.,Fitness,Sports,unknown,2.99,false,Cycling focus
swimming-coach,Swimming Coach,AI swimming instruction and technique improvement coaching.,Fitness,Sports,unknown,2.99,false,Swimming focus
basketball-coach,Basketball Coach,AI basketball training and game strategy coaching.,Fitness,Sports,unknown,3.99,false,Basketball focus
soccer-coach,Soccer Coach,AI soccer training and tactical coaching.,Fitness,Sports,unknown,3.99,false,Soccer focus
tennis-coach,Tennis Coach,AI tennis instruction and game strategy coaching.,Fitness,Sports,unknown,3.99,false,Tennis focus
golf-coach,Golf Coach,AI golf instruction swing coaching and game strategy.,Fitness,Sports,unknown,3.99,false,Golf coaching
skateboard-buddy,Skateboard Buddy,AI skateboard trick tutorials and progression guidance.,Fitness,Sports,unknown,1.99,false,Skateboard culture
climbing-guide,Climbing Guide,AI climbing instruction and safety coaching for indoor and outdoor.,Fitness,Sports,unknown,2.99,false,Climbing focus
gaming-coach,Gaming Coach,AI esports coaching and gaming strategy instruction.,Gaming,Games,unknown,2.99,false,Gaming market
chess-master,Chess Master,AI chess instruction strategy and game analysis.,Learning,Games,unknown,2.99,false,Board games
strategy-game-coach,Strategy Game Coach,AI coaching for strategy games and complex gameplay.,Gaming,Games,unknown,1.99,false,Gaming instruction
