book_number,title,series,epub_file,cover_file,price_usd
15,"Sunny and the Little Numbat","Sonny's Cozy Quokka Bedtime Tales #15","book15/redesign/sunny-and-the-little-numbat.epub","kdp-covers/book15-kdp-cover.jpg",2.99
16,"Sunny and the Spotted Quoll","Sonny's Cozy Quokka Bedtime Tales #16","book16/redesign/sunny-and-the-spotted-quoll.epub","kdp-covers/book16-kdp-cover.jpg",2.99
17,"Sunny and the Bandicoot","Sonny's Cozy Quokka Bedtime Tales #17","book17/redesign/sunny-and-the-bandicoot.epub","kdp-covers/book17-kdp-cover.jpg",2.99
18,"Sunny and the Dingo Puppy","Sonny's Cozy Quokka Bedtime Tales #18","book18/redesign/sunny-and-the-dingo-puppy.epub","kdp-covers/book18-kdp-cover.jpg",2.99
19,"Sunny and the Emu Chick","Sonny's Cozy Quokka Bedtime Tales #19","book19/redesign/sunny-and-the-emu-chick.epub","kdp-covers/book19-kdp-cover.jpg",2.99
20,"Sunny and the Blue-tongue Lizard","Sonny's Cozy Quokka Bedtime Tales #20","book20/redesign/sunny-and-the-blue-tongue-lizard.epub","kdp-covers/book20-kdp-cover.jpg",2.99
21,"Sunny and the Pink Galah","Sonny's Cozy Quokka Bedtime Tales #21","book21/redesign/sunny-and-the-pink-galah.epub","kdp-covers/book21-kdp-cover.jpg",2.99
22,"Sunny and the White Cockatoo","Sonny's Cozy Quokka Bedtime Tales #22","book22/redesign/sunny-and-the-white-cockatoo.epub","kdp-covers/book22-kdp-cover.jpg",2.99
23,"Sunny and the Lyrebird","Sonny's Cozy Quokka Bedtime Tales #23","book23/redesign/sunny-and-the-lyrebird.epub","kdp-covers/book23-kdp-cover.jpg",2.99
24,"Sunny and the Sea Turtle","Sonny's Cozy Quokka Bedtime Tales #24","book24/redesign/sunny-and-the-sea-turtle.epub","kdp-covers/book24-kdp-cover.jpg",2.99
25,"Sunny and the Seal Pup","Sonny's Cozy Quokka Bedtime Tales #25","book25/redesign/sunny-and-the-seal-pup.epub","kdp-covers/book25-kdp-cover.jpg",2.99
26,"Sunny and the Willie Wagtail","Sonny's Cozy Quokka Bedtime Tales #26","book26/redesign/sunny-and-the-willie-wagtail.epub","kdp-covers/book26-kdp-cover.jpg",2.99
27,"Sunny and the Glow Worms","Sonny's Cozy Quokka Bedtime Tales #27","book27/redesign/sunny-and-the-glow-worms.epub","kdp-covers/book27-kdp-cover.jpg",2.99
28,"Sunny and the Brolga","Sonny's Cozy Quokka Bedtime Tales #28","book28/redesign/sunny-and-the-brolga.epub","kdp-covers/book28-kdp-cover.jpg",2.99
29,"Sunny and the Kangaroo Joey","Sonny's Cozy Quokka Bedtime Tales #29","book29/redesign/sunny-and-the-kangaroo-joey.epub","kdp-covers/book29-kdp-cover.jpg",2.99
30,"Sunny and the Black Swan","Sonny's Cozy Quokka Bedtime Tales #30","book30/redesign/sunny-and-the-black-swan.epub","kdp-covers/book30-kdp-cover.jpg",2.99
31,"Sunny and the Fairy-wren","Sonny's Cozy Quokka Bedtime Tales #31","book31/redesign/sunny-and-the-fairy-wren.epub","kdp-covers/book31-kdp-cover.jpg",2.99
32,"Sunny and the Barking Gecko","Sonny's Cozy Quokka Bedtime Tales #32","book32/redesign/sunny-and-the-barking-gecko.epub","kdp-covers/book32-kdp-cover.jpg",2.99
33,"Sunny and the Magpie","Sonny's Cozy Quokka Bedtime Tales #33","book33/redesign/sunny-and-the-magpie.epub","kdp-covers/book33-kdp-cover.jpg",2.99
34,"Sunny and the Dolphin","Sonny's Cozy Quokka Bedtime Tales #34","book34/redesign/sunny-and-the-dolphin.epub","kdp-covers/book34-kdp-cover.jpg",2.99
35,"Sunny and the Cassowary Chick","Sonny's Cozy Quokka Bedtime Tales #35","book35/redesign/sunny-and-the-cassowary-chick.epub","kdp-covers/book35-kdp-cover.jpg",2.99
